date,orgn fs1,orgn fs2,orgn fs3,orgn gw1,orgn gw2,orgn gw3
11/16/2018,6.30E-09,6.30E-09,6.30E-09,6.30E-09,6.30E-09,6.30E-09
11/17/2018,6.09E-09,6.09E-09,6.09E-09,6.09E-09,6.09E-09,6.09E-09
11/18/2018,5.74E-09,5.74E-09,5.74E-09,5.74E-09,5.74E-09,5.74E-09
11/19/2018,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09,5.96E-09
11/20/2018,5.65E-09,5.65E-09,5.65E-09,5.65E-09,5.65E-09,5.65E-09
11/21/2018,5.89E-09,5.89E-09,5.89E-09,5.89E-09,5.89E-09,5.89E-09
11/22/2018,6.08E-09,6.08E-09,6.08E-09,6.08E-09,6.08E-09,6.08E-09
11/23/2018,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09
11/24/2018,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09
11/25/2018,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09
11/26/2018,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
11/27/2018,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09,5.98E-09
11/28/2018,6.05E-09,6.05E-09,6.05E-09,6.05E-09,6.05E-09,6.05E-09
11/29/2018,5.93E-09,5.93E-09,5.93E-09,5.93E-09,5.93E-09,5.93E-09
11/30/2018,6.14E-09,6.14E-09,6.14E-09,6.14E-09,6.14E-09,6.14E-09
12/1/2018,6.26E-09,6.26E-09,6.26E-09,6.26E-09,6.26E-09,6.26E-09
12/2/2018,6.35E-09,6.35E-09,6.35E-09,6.35E-09,6.35E-09,6.35E-09
12/3/2018,6.34E-09,6.34E-09,6.34E-09,6.34E-09,6.34E-09,6.34E-09
12/4/2018,6.26E-09,6.26E-09,6.26E-09,6.26E-09,6.26E-09,6.26E-09
12/5/2018,6.22E-09,6.22E-09,6.22E-09,6.22E-09,6.22E-09,6.22E-09
12/6/2018,6.28E-09,6.28E-09,6.28E-09,6.28E-09,6.28E-09,6.28E-09
12/7/2018,6.19E-09,6.19E-09,6.19E-09,6.19E-09,6.19E-09,6.19E-09
12/8/2018,6.25E-09,6.25E-09,6.25E-09,6.25E-09,6.25E-09,6.25E-09
12/9/2018,6.00E-09,6.00E-09,6.00E-09,6.00E-09,6.00E-09,6.00E-09
12/10/2018,6.15E-09,6.15E-09,6.15E-09,6.15E-09,6.15E-09,6.15E-09
12/11/2018,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
12/12/2018,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09,6.01E-09
12/13/2018,6.00E-09,6.00E-09,6.00E-09,6.00E-09,6.00E-09,6.00E-09
12/14/2018,5.59E-09,5.59E-09,5.59E-09,5.59E-09,5.59E-09,5.59E-09
12/15/2018,5.78E-09,5.78E-09,5.78E-09,5.78E-09,5.78E-09,5.78E-09
12/16/2018,5.27E-09,5.27E-09,5.27E-09,5.27E-09,5.27E-09,5.27E-09
12/17/2018,5.72E-09,5.72E-09,5.72E-09,5.72E-09,5.72E-09,5.72E-09
12/18/2018,5.57E-09,5.57E-09,5.57E-09,5.57E-09,5.57E-09,5.57E-09
12/19/2018,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09
12/20/2018,6.03E-09,6.03E-09,6.03E-09,6.03E-09,6.03E-09,6.03E-09
12/21/2018,5.32E-09,5.32E-09,5.32E-09,5.32E-09,5.32E-09,5.32E-09
12/22/2018,5.53E-09,5.53E-09,5.53E-09,5.53E-09,5.53E-09,5.53E-09
12/23/2018,5.65E-09,5.65E-09,5.65E-09,5.65E-09,5.65E-09,5.65E-09
12/24/2018,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09,5.97E-09
12/25/2018,5.76E-09,5.76E-09,5.76E-09,5.76E-09,5.76E-09,5.76E-09
12/26/2018,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09
12/27/2018,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09
12/28/2018,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09,5.84E-09
12/29/2018,5.94E-09,5.94E-09,5.94E-09,5.94E-09,5.94E-09,5.94E-09
12/30/2018,5.85E-09,5.85E-09,5.85E-09,5.85E-09,5.85E-09,5.85E-09
12/31/2018,5.86E-09,5.86E-09,5.86E-09,5.86E-09,5.86E-09,5.86E-09
1/1/2019,5.93E-09,5.93E-09,5.93E-09,5.93E-09,5.93E-09,5.93E-09
1/2/2019,5.34E-09,5.34E-09,5.34E-09,5.34E-09,5.34E-09,5.34E-09
1/3/2019,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09,5.35E-09
1/4/2019,4.99E-09,4.99E-09,4.99E-09,4.99E-09,4.99E-09,4.99E-09
1/5/2019,5.08E-09,5.08E-09,5.08E-09,5.08E-09,5.08E-09,5.08E-09
1/6/2019,5.04E-09,5.04E-09,5.04E-09,5.04E-09,5.04E-09,5.04E-09
1/7/2019,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09,5.55E-09
1/8/2019,5.27E-09,5.27E-09,5.27E-09,5.27E-09,5.27E-09,5.27E-09
1/9/2019,4.93E-09,4.93E-09,4.93E-09,4.93E-09,4.93E-09,4.93E-09
1/10/2019,5.29E-09,5.29E-09,5.29E-09,5.29E-09,5.29E-09,5.29E-09
1/11/2019,4.88E-09,4.88E-09,4.88E-09,4.88E-09,4.88E-09,4.88E-09
1/12/2019,4.63E-09,4.63E-09,4.63E-09,4.63E-09,4.63E-09,4.63E-09
1/13/2019,4.94E-09,4.94E-09,4.94E-09,4.94E-09,4.94E-09,4.94E-09
1/14/2019,5.94E-09,5.94E-09,5.94E-09,5.94E-09,5.94E-09,5.94E-09
1/15/2019,6.19E-09,6.19E-09,6.19E-09,6.19E-09,6.19E-09,6.19E-09
1/16/2019,6.22E-09,6.22E-09,6.22E-09,6.22E-09,6.22E-09,6.22E-09
1/17/2019,6.38E-09,6.38E-09,6.38E-09,6.38E-09,6.38E-09,6.38E-09
1/18/2019,6.06E-09,6.06E-09,6.06E-09,6.06E-09,6.06E-09,6.06E-09
1/19/2019,6.12E-09,6.12E-09,6.12E-09,6.12E-09,6.12E-09,6.12E-09
1/20/2019,5.83E-09,5.83E-09,5.83E-09,5.83E-09,5.83E-09,5.83E-09
1/21/2019,6.27E-09,6.27E-09,6.27E-09,6.27E-09,6.27E-09,6.27E-09
1/22/2019,6.49E-09,6.49E-09,6.49E-09,6.49E-09,6.49E-09,6.49E-09
1/23/2019,6.54E-09,6.54E-09,6.54E-09,6.54E-09,6.54E-09,6.54E-09
1/24/2019,6.42E-09,6.42E-09,6.42E-09,6.42E-09,6.42E-09,6.42E-09
1/25/2019,6.36E-09,6.36E-09,6.36E-09,6.36E-09,6.36E-09,6.36E-09
1/26/2019,5.91E-09,5.91E-09,5.91E-09,5.91E-09,5.91E-09,5.91E-09
